,link,title,pubDate,description,filename
33,https://www.marketplace.org/shows/marketplace/why-chinas-economic-rebound-has-fallen-short-of-expectations,Why China’s economic rebound has fallen short of expectations,"Mon, 07 Aug 2023 23:13:35 +0000","<p>After China lifted its zero-COVID policy, economists expected the economy to come roaring back. That hasn&#8217;t quite happened. Today, we zoom in on the reasons, including a pullback in consumer spending after a burst housing bubble. Then, why the UAW is asking for a 40% raise, why Black farmers feel left behind by the Agriculture Department and why car repairs are so darn expensive these days.</p>",why-chinas-economic-rebound-has-fallen-short-of-expectations
34,https://www.marketplace.org/shows/marketplace/can-we-let-the-economic-good-news-be-good-news,Can we let the economic good news be good news?,"Fri, 04 Aug 2023 23:33:13 +0000","<p>Is that a productivity boom we see on the horizon? It&#8217;s too early to tell if that’s the case, but the economic mood has clearly improved. Our Weekly Wrap panel parses the changes. Also, labor shortages in home health care, a dip in domestic travel and the cultural and economic impact of hip-hop.</p>",can-we-let-the-economic-good-news-be-good-news
35,https://www.marketplace.org/shows/marketplace/bitcoin-election-anxiety-and-second-passports,"Bitcoin, election anxiety and second passports","Thu, 03 Aug 2023 23:14:02 +0000","<p>Instead of buying another Porsche, some of the mega-rich are dropping $100,000 on new citizenship. These citizenship by investment programs have gained popularity since the 2020 election and pandemic, especially among bitcoin investors. Today, we delve into &#8220;the ultimate hedge” for wealthy Americans. Plus, why an uptick in productivity is good news for the inflation fight, and what to make of a slowdown in manufacturing.</p>",bitcoin-election-anxiety-and-second-passports
36,https://www.marketplace.org/shows/marketplace/an-economic-vibe-shift,An economic vibe shift?,"Wed, 02 Aug 2023 23:12:20 +0000","<p>The economy seems pretty strong right now: Inflation is moderating and consumer sentiment is up. In other words, the vibes are good. So is it possible we&#8217;ve skirted a recession? Or that the &#8220;vibecession&#8221; is over? Also on today&#8217;s program: claims of a superconductor breakthrough, AI&#8217;s impact on voice assistants and calls to end &#8220;scholarship displacement.&#8221;</p>",an-economic-vibe-shift
37,https://www.marketplace.org/shows/marketplace/job-openings-labor-turnover-survey-june,Is the current job market music to the Fed’s ears?,"Tue, 01 Aug 2023 22:36:23 +0000","<p>According to the Job Openings and Labor Turnover survey for June, fewer workers are quitting their jobs and employers are hiring less. But is it all rock &#8216;n&#8217; roll for the Federal Reserve&#8217;s inflation fight, or will it just end up rocky, with a recession? Turns out, the economic anthem of the moment depends on how you read the data. Then: freight shipping woes, Uber&#8217;s first-time profit and a blame game over Britain&#8217;s cost-of-living crisis.</p>",job-openings-labor-turnover-survey-june
38,https://www.marketplace.org/shows/marketplace/the-countrys-newest-test-case-for-nuclear-power,The country’s newest test case for nuclear power,"Mon, 31 Jul 2023 22:33:48 +0000","<p>While extreme heat bakes much of the country, the first new nuclear reactor to be built from scratch in decades just came online in Georgia. But the project took much longer and cost much more than planned. As the planet continues to scorch, will nuclear power catch on? Then, the perks of being a legacy student and a boom in spam texts.</p>",the-countrys-newest-test-case-for-nuclear-power
39,https://www.marketplace.org/shows/marketplace/inside-the-deadhead-economy,Inside the Deadhead economy,"Fri, 28 Jul 2023 22:42:11 +0000","<p>It&#8217;s the final tour of Dead &amp; Company, the Grateful Dead’s offshoot band. But what&#8217;s to come of the vendors and Deadheads who&#8217;ve followed the band for decades? Today, we hear about what a long, strange trip it&#8217;s been and what happens now that the show&#8217;s over. We&#8217;ll also examine the double-edged sword of consumer spending and unpack whether inflation might threaten brand loyalty.</p>",inside-the-deadhead-economy
40,https://www.marketplace.org/shows/marketplace/whats-behind-those-annoying-customer-service-hold-times,What’s behind those annoying customer service hold times?,"Thu, 27 Jul 2023 22:20:57 +0000","<p>Call a customer service line and odds are you&#8217;ll hear that “unusually high call volume” is making you wait. But automated messages and long wait times seem to have become the norm. We won&#8217;t put you on hold to find out why. Plus, the economy just keeps on growing and businesses stock up on inventory again.</p>",whats-behind-those-annoying-customer-service-hold-times
41,https://www.marketplace.org/shows/marketplace/interest-rates-are-high-but-consumer-confidence-is-up,"Interest rates are high, but  consumer confidence is up","Wed, 26 Jul 2023 22:38:38 +0000","<p>Sure, today the Federal Reserve hiked its key interest rate to the highest level since 2001. But consumers are feeling much rosier about the economy lately, thanks to cooling inflation and a strong labor market. Plus, higher interest rates spell trouble for businesses, and a lack of investment in women&#8217;s soccer has debilitating physical consequences.</p>",interest-rates-are-high-but-consumer-confidence-is-up
42,https://www.marketplace.org/shows/marketplace/a-view-of-the-post-peak-housing-market,A view of the post-peak housing market,"Tue, 25 Jul 2023 23:01:09 +0000","<p>The CoreLogic Case-Shiller index of existing home prices, which came out today, shows that values are down from the year before, but the price trends vary across the country. Today, we trace their rise and fall. Then, what&#8217;s a fair price for artificial intelligence? And what Milton Friedman&#8217;s &#8220;long and variable lag&#8221; means in 2023.</p>",a-view-of-the-post-peak-housing-market
43,https://www.marketplace.org/shows/marketplace/origin-story-milton-friedmans-long-and-variable-lag,The origin story of Friedman’s “long and variable lag”,"Mon, 24 Jul 2023 22:45:58 +0000","<p>Popularized by Milton Friedman in the 1960s, the phrase &#8220;long and variable lag&#8221; refers to the idea that it takes time for monetary policy to be felt in the economy, and the Federal Reserve uses it a lot. How did it go from concept to conventional wisdom? Today, part one of our answer. We&#8217;ll also outline a big week ahead for the world&#8217;s central banks and the ripple effects of a potential UPS strike.</p>",origin-story-milton-friedmans-long-and-variable-lag
44,https://www.marketplace.org/shows/marketplace/federal-reserve-interest-rates-inflation,"Your move, Federal Reserve","Fri, 21 Jul 2023 23:06:48 +0000","<p>We got retail sales and housing data this week, and there&#8217;s some optimistic news. Are these signs of a &#8220;soft landing&#8221;? The Federal Reserve hasn&#8217;t said — nobody wants to jinx it. We&#8217;ll examine the data and what it means for a potential Fed rate hike next week. Also on the program: a trip to a winery in southwest Germany and a famous pony ranch on Virginia&#8217;s Chincoteague Island.</p>",federal-reserve-interest-rates-inflation
45,https://www.marketplace.org/shows/marketplace/fragmented-medical-records-are-a-danger-to-our-health,Fragmented medical records are a danger to our health,"Thu, 20 Jul 2023 23:05:19 +0000","<p>Accessing medical records isn’t always easy for doctors, and the gaps and disorganization that result can pose serious risks for patients. Today, we hear what fragmentation means for our health care and what we can do to fix it. We&#8217;ll also examine whether the monthly Leading Economic Index is still a good recession predictor, and do the numbers on the Women&#8217;s World Cup.</p>",fragmented-medical-records-are-a-danger-to-our-health
46,https://www.marketplace.org/shows/marketplace/stay-cool-out-there,Stay cool out there,"Wed, 19 Jul 2023 23:13:25 +0000","<p>Air conditioners are cranked and grids are straining as much of the country grapples with a heat wave. This is also the first summer Americans are eligible for expanded home weatherization tax credits, and we&#8217;ve got everything you need to know. Later, we&#8217;ll learn why Chipotle is expanding to small-town America and what worries legal pros about the spread of AI-powered tools.</p>",stay-cool-out-there
47,https://www.marketplace.org/shows/marketplace/confused-by-the-economy-right-now-so-are-economists,Confused by the economy right now? So are economists.,"Tue, 18 Jul 2023 23:06:36 +0000","<p>We talk with experts every day about this chaotic economy, up to and including today&#8217;s new retail sales data. But years of mixed signals mean economists are sometimes just as confused as we are. On today&#8217;s show, we&#8217;ll get a bit meta and talk with them about it. Plus: What those retail sales numbers and a recent surge in loan rejections mean (or don&#8217;t?) for the economy at large. Later, we&#8217;ll talk with economics BA, former teen idol and new author Ben McKenzie about why Hollywood fell hard for crypto.</p>",confused-by-the-economy-right-now-so-are-economists
48,https://www.marketplace.org/shows/marketplace/how-china-does-the-numbers,How China does the numbers,"Mon, 17 Jul 2023 22:34:29 +0000","<p>The world&#8217;s second-largest economy missed expectations this quarter. China&#8217;s gross domestic product grew 6.3% from the same quarter last year, and an anemic 0.8% since Q1. But what&#8217;s the right way to measure China&#8217;s economy? Today our Shanghai correspondent looks into it. But first, we&#8217;ll look at uneven inflation around the world and how Federal Reserve officials craft their public statements between market-moving meetings. Later, a check-in on the electric vehicle market as Ford slashes $10,000 off the price of an F-150 Lightning.</p>",how-china-does-the-numbers
49,https://www.marketplace.org/shows/marketplace/regulate-crypto-sure-but-how,Regulate crypto? Sure. But how?,"Fri, 14 Jul 2023 22:32:46 +0000","<p>Yesterday’s landmark Ripple Labs ruling has both regulators and crypto boosters declaring victory. On today&#8217;s show, we&#8217;ll untangle the case and what it means for the government’s crypto crackdown. But first, is the soft landing finally here? We&#8217;ll recap a big week in economic news with our panel. Later, the culture wars holding up defense funding and a visit to Kai Ryssdal&#8217;s favorite Beijing vegetable stand.</p>",regulate-crypto-sure-but-how
